"tick","uncolonized_count","colonized_count","infection_count","total_count"
363.1,42618,1343,17,43978
364.1,42619,1342,17,43978
365.1,42620,1342,16,43978
366.1,42620,1342,16,43978
367.1,42620,1341,17,43978
368.1,42620,1340,18,43978
369.1,42620,1340,18,43978
370.1,42620,1339,19,43978
371.1,42617,1343,18,43978
372.1,42617,1342,19,43978
373.1,42618,1341,19,43978
374.1,42618,1342,18,43978
375.1,42617,1342,19,43978
376.1,42617,1342,19,43978
377.1,42617,1342,19,43978
378.1,42617,1342,19,43978
379.1,42618,1341,19,43978
380.1,42617,1341,20,43978
381.1,42617,1341,20,43978
382.1,42617,1340,21,43978
383.1,42616,1341,21,43978
384.1,42616,1341,21,43978
385.1,42615,1342,21,43978
386.1,42616,1341,21,43978
387.1,42615,1340,23,43978
388.1,42617,1338,23,43978
389.1,42618,1337,23,43978
390.1,42618,1337,23,43978
391.1,42618,1337,23,43978
392.1,42618,1337,23,43978
393.1,42619,1337,22,43978
394.1,42618,1338,22,43978
395.1,42620,1338,20,43978
396.1,42622,1337,19,43978
397.1,42622,1337,19,43978
398.1,42621,1337,20,43978
399.1,42620,1338,20,43978
400.1,42621,1338,19,43978
401.1,42619,1340,19,43978
402.1,42619,1340,19,43978
403.1,42619,1340,19,43978
404.1,42619,1341,18,43978
405.1,42618,1340,20,43978
406.1,42620,1340,18,43978
407.1,42620,1340,18,43978
408.1,42620,1340,18,43978
409.1,42620,1341,17,43978
410.1,42620,1341,17,43978
411.1,42620,1342,16,43978
412.1,42620,1342,16,43978
413.1,42619,1343,16,43978
414.1,42619,1343,16,43978
415.1,42619,1344,15,43978
416.1,42619,1344,15,43978
417.1,42618,1345,15,43978
418.1,42619,1345,14,43978
419.1,42619,1344,15,43978
420.1,42619,1344,15,43978
421.1,42618,1343,17,43978
422.1,42617,1344,17,43978
423.1,42617,1344,17,43978
424.1,42617,1344,17,43978
425.1,42618,1342,18,43978
426.1,42618,1343,17,43978
427.1,42617,1343,18,43978
428.1,42618,1343,17,43978
429.1,42617,1344,17,43978
430.1,42619,1344,15,43978
431.1,42619,1344,15,43978
432.1,42618,1346,14,43978
433.1,42617,1345,16,43978
434.1,42617,1344,17,43978
435.1,42617,1343,18,43978
436.1,42617,1342,19,43978
437.1,42616,1343,19,43978
438.1,42616,1342,20,43978
439.1,42616,1342,20,43978
440.1,42615,1343,20,43978
441.1,42614,1344,20,43978
442.1,42613,1345,20,43978
443.1,42613,1347,18,43978
444.1,42612,1350,16,43978
445.1,42614,1350,14,43978
446.1,42613,1350,15,43978
447.1,42611,1352,15,43978
448.1,42611,1351,16,43978
449.1,42611,1351,16,43978
450.1,42611,1350,17,43978
451.1,42611,1349,18,43978
452.1,42611,1348,19,43978
453.1,42611,1348,19,43978
454.1,42613,1347,18,43978
455.1,42613,1347,18,43978
456.1,42613,1348,17,43978
457.1,42613,1348,17,43978
458.1,42612,1349,17,43978
459.1,42612,1349,17,43978
460.1,42610,1349,19,43978
461.1,42609,1350,19,43978
462.1,42611,1350,17,43978
463.1,42611,1350,17,43978
464.1,42612,1350,16,43978
465.1,42612,1351,15,43978
466.1,42612,1351,15,43978
467.1,42613,1351,14,43978
468.1,42614,1351,13,43978
469.1,42614,1352,12,43978
470.1,42614,1353,11,43978
471.1,42613,1354,11,43978
472.1,42612,1355,11,43978
473.1,42611,1356,11,43978
474.1,42610,1357,11,43978
475.1,42609,1358,11,43978
476.1,42609,1358,11,43978
477.1,42609,1358,11,43978
478.1,42609,1358,11,43978
479.1,42609,1357,12,43978
480.1,42607,1358,13,43978
481.1,42607,1358,13,43978
482.1,42606,1359,13,43978
483.1,42606,1359,13,43978
484.1,42607,1359,12,43978
485.1,42607,1358,13,43978
486.1,42606,1360,12,43978
487.1,42606,1361,11,43978
488.1,42606,1361,11,43978
489.1,42607,1361,10,43978
490.1,42607,1359,12,43978
491.1,42606,1361,11,43978
492.1,42605,1362,11,43978
493.1,42604,1362,12,43978
494.1,42606,1362,10,43978
495.1,42606,1362,10,43978
496.1,42606,1362,10,43978
497.1,42606,1361,11,43978
498.1,42606,1359,13,43978
499.1,42606,1359,13,43978
500.1,42606,1359,13,43978
501.1,42607,1359,12,43978
502.1,42608,1359,11,43978
503.1,42607,1360,11,43978
504.1,42607,1359,12,43978
505.1,42606,1360,12,43978
506.1,42608,1360,10,43978
507.1,42608,1359,11,43978
508.1,42607,1360,11,43978
509.1,42607,1359,12,43978
510.1,42607,1359,12,43978
511.1,42607,1359,12,43978
512.1,42607,1360,11,43978
513.1,42607,1359,12,43978
514.1,42608,1358,12,43978
515.1,42608,1357,13,43978
516.1,42608,1357,13,43978
517.1,42608,1356,14,43978
518.1,42608,1355,15,43978
519.1,42608,1355,15,43978
520.1,42606,1357,15,43978
521.1,42607,1358,13,43978
522.1,42606,1359,13,43978
523.1,42606,1359,13,43978
524.1,42607,1358,13,43978
525.1,42608,1358,12,43978
526.1,42607,1358,13,43978
527.1,42607,1358,13,43978
528.1,42607,1358,13,43978
529.1,42606,1358,14,43978
530.1,42607,1358,13,43978
531.1,42606,1358,14,43978
532.1,42605,1359,14,43978
533.1,42605,1359,14,43978
534.1,42605,1358,15,43978
535.1,42605,1355,18,43978
536.1,42605,1355,18,43978
537.1,42603,1357,18,43978
538.1,42603,1357,18,43978
539.1,42603,1357,18,43978
540.1,42603,1356,19,43978
541.1,42604,1356,18,43978
542.1,42604,1355,19,43978
543.1,42604,1355,19,43978
544.1,42604,1354,20,43978
545.1,42605,1352,21,43978
546.1,42606,1351,21,43978
547.1,42608,1351,19,43978
548.1,42607,1353,18,43978
549.1,42607,1352,19,43978
550.1,42607,1351,20,43978
551.1,42606,1352,20,43978
552.1,42605,1353,20,43978
553.1,42605,1353,20,43978
554.1,42607,1352,19,43978
555.1,42607,1352,19,43978
556.1,42607,1351,20,43978
557.1,42606,1353,19,43978
558.1,42607,1354,17,43978
559.1,42607,1354,17,43978
560.1,42607,1354,17,43978
561.1,42606,1355,17,43978
562.1,42607,1355,16,43978
563.1,42607,1355,16,43978
564.1,42606,1355,17,43978
565.1,42607,1355,16,43978
566.1,42607,1355,16,43978
567.1,42607,1355,16,43978
568.1,42607,1355,16,43978
569.1,42607,1355,16,43978
570.1,42609,1354,15,43978
571.1,42609,1354,15,43978
572.1,42609,1354,15,43978
573.1,42609,1353,16,43978
574.1,42609,1353,16,43978
575.1,42608,1354,16,43978
576.1,42609,1352,17,43978
577.1,42609,1352,17,43978
578.1,42608,1353,17,43978
579.1,42608,1353,17,43978
580.1,42607,1354,17,43978
581.1,42608,1354,16,43978
582.1,42610,1353,15,43978
583.1,42610,1352,16,43978
584.1,42610,1353,15,43978
585.1,42609,1355,14,43978
586.1,42608,1355,15,43978
587.1,42608,1354,16,43978
588.1,42607,1355,16,43978
589.1,42605,1357,16,43978
590.1,42605,1357,16,43978
591.1,42605,1357,16,43978
592.1,42606,1357,15,43978
593.1,42606,1357,15,43978
594.1,42607,1357,14,43978
595.1,42608,1357,13,43978
596.1,42607,1358,13,43978
597.1,42607,1358,13,43978
598.1,42607,1357,14,43978
599.1,42607,1357,14,43978
600.1,42607,1357,14,43978
601.1,42606,1358,14,43978
602.1,42606,1358,14,43978
603.1,42606,1357,15,43978
604.1,42607,1357,14,43978
605.1,42607,1358,13,43978
606.1,42607,1356,15,43978
607.1,42607,1355,16,43978
608.1,42606,1355,17,43978
609.1,42606,1355,17,43978
610.1,42606,1354,18,43978
611.1,42606,1353,19,43978
612.1,42606,1353,19,43978
613.1,42606,1352,20,43978
614.1,42606,1352,20,43978
615.1,42607,1351,20,43978
616.1,42606,1351,21,43978
617.1,42607,1351,20,43978
618.1,42607,1351,20,43978
619.1,42609,1351,18,43978
620.1,42609,1353,16,43978
621.1,42609,1353,16,43978
622.1,42610,1353,15,43978
623.1,42610,1353,15,43978
624.1,42613,1352,13,43978
625.1,42613,1352,13,43978
626.1,42612,1353,13,43978
627.1,42613,1351,14,43978
628.1,42613,1351,14,43978
629.1,42612,1352,14,43978
630.1,42612,1350,16,43978
631.1,42611,1351,16,43978
632.1,42612,1351,15,43978
633.1,42612,1351,15,43978
634.1,42612,1351,15,43978
635.1,42612,1351,15,43978
636.1,42611,1352,15,43978
637.1,42612,1351,15,43978
638.1,42612,1351,15,43978
639.1,42613,1350,15,43978
640.1,42613,1350,15,43978
641.1,42613,1350,15,43978
642.1,42612,1351,15,43978
643.1,42612,1351,15,43978
644.1,42611,1352,15,43978
645.1,42612,1352,14,43978
646.1,42612,1352,14,43978
647.1,42613,1352,13,43978
648.1,42612,1352,14,43978
649.1,42612,1351,15,43978
650.1,42611,1351,16,43978
651.1,42611,1351,16,43978
652.1,42612,1351,15,43978
653.1,42615,1349,14,43978
654.1,42615,1350,13,43978
655.1,42616,1350,12,43978
656.1,42616,1351,11,43978
657.1,42617,1351,10,43978
658.1,42617,1351,10,43978
659.1,42618,1350,10,43978
660.1,42617,1352,9,43978
661.1,42616,1352,10,43978
662.1,42616,1352,10,43978
663.1,42616,1352,10,43978
664.1,42616,1352,10,43978
665.1,42616,1351,11,43978
666.1,42616,1351,11,43978
667.1,42615,1351,12,43978
668.1,42614,1352,12,43978
669.1,42614,1351,13,43978
670.1,42611,1352,15,43978
671.1,42611,1352,15,43978
672.1,42610,1352,16,43978
673.1,42610,1352,16,43978
674.1,42610,1352,16,43978
675.1,42611,1350,17,43978
676.1,42609,1352,17,43978
