"tick","uncolonized_count","colonized_count","infection_count","total_count"
321.1,42673,1293,12,43978
322.1,42673,1293,12,43978
323.1,42674,1293,11,43978
324.1,42675,1293,10,43978
325.1,42675,1293,10,43978
326.1,42675,1293,10,43978
327.1,42675,1293,10,43978
328.1,42675,1293,10,43978
329.1,42677,1293,8,43978
330.1,42676,1293,9,43978
331.1,42676,1292,10,43978
332.1,42676,1293,9,43978
333.1,42676,1292,10,43978
334.1,42676,1291,11,43978
335.1,42677,1288,13,43978
336.1,42677,1287,14,43978
337.1,42678,1286,14,43978
338.1,42676,1288,14,43978
339.1,42676,1288,14,43978
340.1,42676,1288,14,43978
341.1,42676,1288,14,43978
342.1,42676,1288,14,43978
343.1,42676,1288,14,43978
344.1,42676,1287,15,43978
345.1,42677,1286,15,43978
346.1,42676,1287,15,43978
347.1,42676,1287,15,43978
348.1,42676,1287,15,43978
349.1,42676,1286,16,43978
350.1,42677,1285,16,43978
351.1,42678,1285,15,43978
352.1,42679,1285,14,43978
353.1,42679,1284,15,43978
354.1,42678,1284,16,43978
355.1,42678,1284,16,43978
356.1,42678,1285,15,43978
357.1,42678,1286,14,43978
358.1,42677,1287,14,43978
359.1,42677,1286,15,43978
360.1,42681,1283,14,43978
361.1,42682,1284,12,43978
362.1,42682,1284,12,43978
363.1,42683,1282,13,43978
364.1,42684,1281,13,43978
365.1,42685,1281,12,43978
366.1,42685,1281,12,43978
367.1,42685,1282,11,43978
368.1,42686,1280,12,43978
369.1,42686,1280,12,43978
370.1,42684,1282,12,43978
371.1,42684,1282,12,43978
372.1,42684,1281,13,43978
373.1,42684,1280,14,43978
374.1,42684,1279,15,43978
375.1,42684,1279,15,43978
376.1,42684,1279,15,43978
377.1,42684,1279,15,43978
378.1,42684,1278,16,43978
379.1,42684,1277,17,43978
380.1,42683,1277,18,43978
381.1,42683,1276,19,43978
382.1,42684,1275,19,43978
383.1,42684,1274,20,43978
384.1,42685,1274,19,43978
385.1,42685,1272,21,43978
386.1,42685,1272,21,43978
387.1,42685,1272,21,43978
388.1,42685,1272,21,43978
389.1,42686,1272,20,43978
390.1,42685,1273,20,43978
391.1,42683,1275,20,43978
392.1,42683,1275,20,43978
393.1,42682,1274,22,43978
394.1,42682,1274,22,43978
395.1,42682,1274,22,43978
396.1,42683,1274,21,43978
397.1,42683,1274,21,43978
398.1,42683,1275,20,43978
399.1,42684,1275,19,43978
400.1,42684,1276,18,43978
401.1,42684,1275,19,43978
402.1,42683,1276,19,43978
403.1,42684,1276,18,43978
404.1,42685,1275,18,43978
405.1,42685,1275,18,43978
406.1,42685,1275,18,43978
407.1,42685,1276,17,43978
408.1,42685,1277,16,43978
409.1,42686,1277,15,43978
410.1,42685,1278,15,43978
411.1,42686,1277,15,43978
412.1,42685,1278,15,43978
413.1,42685,1278,15,43978
414.1,42684,1277,17,43978
415.1,42684,1276,18,43978
416.1,42685,1275,18,43978
417.1,42685,1275,18,43978
418.1,42686,1275,17,43978
419.1,42686,1276,16,43978
420.1,42688,1276,14,43978
421.1,42688,1277,13,43978
422.1,42688,1276,14,43978
423.1,42689,1276,13,43978
424.1,42690,1274,14,43978
425.1,42691,1274,13,43978
426.1,42691,1274,13,43978
427.1,42692,1274,12,43978
428.1,42692,1274,12,43978
429.1,42691,1275,12,43978
430.1,42689,1277,12,43978
431.1,42689,1275,14,43978
432.1,42688,1276,14,43978
433.1,42689,1275,14,43978
434.1,42688,1276,14,43978
435.1,42686,1278,14,43978
436.1,42686,1278,14,43978
437.1,42686,1277,15,43978
438.1,42686,1276,16,43978
439.1,42686,1276,16,43978
440.1,42688,1275,15,43978
441.1,42688,1275,15,43978
442.1,42688,1274,16,43978
443.1,42688,1274,16,43978
444.1,42687,1274,17,43978
445.1,42686,1276,16,43978
446.1,42685,1276,17,43978
447.1,42686,1275,17,43978
448.1,42686,1275,17,43978
449.1,42685,1274,19,43978
450.1,42686,1274,18,43978
451.1,42684,1276,18,43978
452.1,42684,1274,20,43978
453.1,42686,1273,19,43978
454.1,42685,1274,19,43978
455.1,42683,1275,20,43978
456.1,42683,1275,20,43978
457.1,42682,1276,20,43978
458.1,42682,1276,20,43978
459.1,42683,1277,18,43978
460.1,42682,1277,19,43978
461.1,42682,1277,19,43978
462.1,42682,1277,19,43978
463.1,42682,1277,19,43978
464.1,42682,1277,19,43978
465.1,42681,1278,19,43978
466.1,42681,1277,20,43978
467.1,42681,1277,20,43978
468.1,42681,1278,19,43978
469.1,42679,1279,20,43978
470.1,42679,1279,20,43978
471.1,42679,1279,20,43978
472.1,42679,1278,21,43978
473.1,42680,1278,20,43978
474.1,42679,1279,20,43978
475.1,42678,1280,20,43978
476.1,42679,1279,20,43978
477.1,42678,1279,21,43978
478.1,42679,1279,20,43978
479.1,42680,1277,21,43978
480.1,42680,1278,20,43978
481.1,42680,1278,20,43978
482.1,42679,1279,20,43978
